Title: ,Description: ,Rating: ,Link: ,Source: 
Activation and Retention Strategy,"Product Management, Activation Funnels, Retention Analysis, Churn Analysis, Segment Analysis, User Engagement, Cohort Analysis Hone specialized Product Management skills in activation and retention strategy. Guide users through the activation funnel as fast as possible, so they reach your product’s aha-moment, and deploy experiments to improve customer lifetime value and decrease churn.",N/A,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Udacity
AWS Cloud Architect,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing Lead your organization's cloud computing strategy as an AWS Cloud Architect. Plan, design, and build secure, high availability cloud infrastructure.",N/A,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,Udacity
Artificial Intelligence,"AI Algorithms, Search Algorithms, Optimization, Planning, Pattern Recognition Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",N/A,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Udacity
Agile Software Development,"Agile, Scrum, Kanban, XP, Minimum Viable Product ThoughtWorks The Agile Software Development Nanodegree program equips you with the skills you need to guide the delivery of high value products with top notch software development teams.
",N/A,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Udacity
Marketing Analytics,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation Gain foundational data skills applicable to marketing. Collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",N/A,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,Udacity
Intro to Machine Learning with TensorFlow,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning Kaggle, AWS Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment.",N/A,https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,Udacity
Intermediate JavaScript,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",N/A,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032,Udacity
Natural Language Processing,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging Amazon Alexa, IBM Watson Learn the skills to get computers to understand, process, and respond to human language. Build models on real data, and get hands-on experience with sentiment analysis, machine translation, and more.",N/A,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Udacity
Sensor Fusion Engineer,"Perception, Lidar, Radar, Sensors, Computer Vision Mercedes-Benz Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to perceive the environment and detect and track vehicles and pedestrians over time.",N/A,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Udacity
AI for Healthcare,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning Be at the forefront of the revolution of AI in Healthcare, and transform patient outcomes. Enable enhanced medical decision-making powered by machine learning to build the treatments of the future.",N/A,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,Udacity
AI for Business Leaders,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling BMW Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",N/A,https://www.udacity.com/course/ai-for-business-leaders--nd054,Udacity
Introduction to Cybersecurity,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response SecurityScorecard Get your start in the high growth field of Cybersecurity by building foundational skills in how to evaluate, maintain, and monitor the security of computer systems.",N/A,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Udacity
Cloud DevOps using Microsoft Azure,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring Microsoft Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms used by businesses across the globe.",N/A,https://www.udacity.com/course/devops-engineer-for-microsoft-azure-nanodegree--nd082,Udacity
Data Visualization,"Data Visualization, Tableau, Dashboards, Data Storytelling Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",N/A,https://www.udacity.com/course/data-visualization-nanodegree--nd197,Udacity
Flying Car and Autonomous Flight Engineer,"3D Motion Planning, Controls, Estimation, Kalman Filters Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",N/A,https://www.udacity.com/course/flying-car-nanodegree--nd787,Udacity
Programming for Data Science with R,"R, SQL, Git Mode Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",N/A,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,Udacity
Data Science for Business Leaders,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital Alteryx Master the people, platforms, and processes required to leverage the power of Data Science in your business.",N/A,https://www.udacity.com/course/data-science-for-business-leaders--nd045,Udacity
Intel® Edge AI for IoT Developers,"Edge AI, Computer Vision, Deep Learning, Edge Computing, AI Modeling, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), IoT, Intel® Distribution of OpenVINO™ Toolkit, Intel® DevCloud for the Edge Intel Lead the development of cutting-edge Edge AI applications that are the future of the Internet of Things. Leverage the Intel® Distribution of OpenVINO™ Toolkit to fast-track development of high-performance computer vision and deep learning inference applications.",N/A,https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,Udacity
Growth Product Manager,"Product Management, Growth Strategy, Customer Acquisition, Activation Strategy, Monetization Strategy, Performance Optimization Hone specialized Product Management skills in growth strategy. Lead experimentation and data-driven decision-making in your organization to drive products to reach the next level of scale, impact, and profitability.",N/A,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,Udacity
Intermediate Python,"Python, Object-oriented programming, Modular code, Python Package Index The Intermediate Python Nanodegree program teaches intermediate-level skills for programming with the Python language.  It is ideal for developers interested in using Python to build more complex algorithms with greater capabilities in preparation for a variety of different roles spanning fields like data science, AI, and software engineering.",N/A,https://www.udacity.com/course/intermediate-python-nanodegree--nd303,Udacity
Android Kotlin Developer,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase Google Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",N/A,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Udacity
RPA Developer with UiPath,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestator UiPath Build the operational processes that enable the businesses of the future.",N/A,https://www.udacity.com/course/rpa-developer-nanodegree--nd340,Udacity
Data Architect,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
 Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",N/A,https://www.udacity.com/course/data-architect-nanodegree--nd038,Udacity
Hybrid Cloud Engineer,"Hyper-converged infrastructure,  Hybrid Cloud,  Public Cloud,  Private Cloud,  HCI Clusters,  Workload Management,  On premise,  Off premise
 Nutanix This Nanodegree program, built in collaboration with experts from Nutanix, a leader in the cutting edge field of hyperconverged infrastructure software, takes cloud technology and data-center professionals on an in-depth journey into the design, deployment, and management of infrastructure and applications together on the Hybrid Cloud. Master the concepts you need to transform how your IT teams manage applications and support the business.",N/A,https://www.udacity.com/course/hybrid-cloud-engineer-nanodegree--nd321,Udacity
Developer for Microsoft Azure,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration Microsoft The Developer for Microsoft Azure Nanodegree program prepares students with critical cloud computing skills in how to deploy, build, migrate, and monitor applications on Azure.",N/A,https://www.udacity.com/course/developer-for-microsoft-azure-nanodegree--nd081,Udacity
Machine Learning Engineer for Microsoft Azure,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
 Microsoft Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",N/A,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,Udacity
Microsoft Power Platform,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder Microsoft Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",N/A,https://www.udacity.com/course/microsoft-power-platform--ud091,Udacity
Web Tooling & Automation,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint Google In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.",N/A,https://www.udacity.com/course/web-tooling-automation--ud892,Udacity
Front End Frameworks,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing Google Explore and build interactive, single-page applications with popular JavaScript frameworks!",N/A,https://www.udacity.com/course/front-end-frameworks--ud894,Udacity
Responsive Web Design Fundamentals,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox Google Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.",N/A,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,Udacity
Linux Command Line Basics,"Command line interface (Linux server), Terminal and Shell (GNU Bash), Linux filesystem, Shell commands An introduction to the Linux command line interface.",N/A,https://www.udacity.com/course/linux-command-line-basics--ud595,Udacity
How to Install Android Studio,"Android, Android Studio, Java Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.",N/A,https://www.udacity.com/course/how-to-install-android-studio--ud808,Udacity
Android Basics: Multiscreen Apps,"Android Development, Intents and Activities, Data, Loops and Custom Classes, Images and Visual Polish, Audio and Libraries Google Learn to build multiple screens and link them together, expanding the range of apps you can create! You'll also learn how to play audio and add images to your apps.",N/A,https://www.udacity.com/course/android-basics-multiscreen-apps--ud839,Udacity
Website Performance Optimization,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations Google Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!",N/A,https://www.udacity.com/course/website-performance-optimization--ud884,Udacity
iOS Networking with Swift,"Networking, URLSession, JSON Parsing Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.",N/A,https://www.udacity.com/course/ios-networking-with-swift--ud421,Udacity
JavaScript Design Patterns,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.",N/A,https://www.udacity.com/course/javascript-design-patterns--ud989,Udacity
Android Basics: User Input,"Android Development, Java, Object Oriented Programming, Conditional Code, Methods, Variables Google Learn how to make your apps interactive using buttons and text! In this course you'll learn the basics of the Java programming language and how to apply them to Android.",N/A,https://www.udacity.com/course/android-basics-user-input--ud836,Udacity
Android Performance,"Android Development, Performance, Optimization Google Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.",N/A,https://www.udacity.com/course/android-performance--ud825,Udacity
Responsive Images,"Responsive Images, Mobile Image debugging, Creating responsive graphics Google Go beyond image tags! Learn how to make images a part of your responsive design workflow.",N/A,https://www.udacity.com/course/responsive-images--ud882,Udacity
Xcode Debugging,"Debugging, LLDB In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.",N/A,https://www.udacity.com/course/xcode-debugging--ud774,Udacity
Gradle for Android and Java,"Android Development, Gradle, Java Gradle, Google Build bigger and better Android and Java apps using the Gradle build tool.",N/A,https://www.udacity.com/course/gradle-for-android-and-java--ud867,Udacity
Build Native Mobile Apps with Flutter,Android Development Google Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,N/A,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Udacity
JavaScript Promises,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work Google Learn how to simplify asynchronous work with Native JavaScript Promises!",N/A,https://www.udacity.com/course/javascript-promises--ud898,Udacity
UIKit Fundamentals,"AutoLayout, Navigation, Table Views, Collection Views Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.",N/A,https://www.udacity.com/course/uikit-fundamentals--ud788,Udacity
Android Basics: User Interface,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling Google Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.",N/A,https://www.udacity.com/course/android-basics-user-interface--ud834,Udacity
Client-Server Communication,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication Google Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.",N/A,https://www.udacity.com/course/client-server-communication--ud897,Udacity
What is Programming?,This course is your first step towards a career in programming.,N/A,https://www.udacity.com/course/what-is-programming--ud994,Udacity
Building High Conversion Web Forms,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms Google Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.",N/A,https://www.udacity.com/course/building-high-conversion-web-forms--ud890,Udacity
Advanced Android App Development,"Android Development, Fragments, Libraries, Firebase, Espresso Google Make your app production-ready by applying advanced features like library integration, material design, widgets, receiving cloud messages, and more!",N/A,https://www.udacity.com/course/advanced-android-app-development--ud855,Udacity
Software Architecture & Design,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review Georgia Institute of Technology Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.",N/A,https://www.udacity.com/course/software-architecture-design--ud821,Udacity
Intro to Information Security,"Software Security, Cryptography, Network Security, Privacy, Public Policy Georgia Institute of Technology",N/A,https://www.udacity.com/course/intro-to-information-security--ud459,Udacity
Authentication & Authorization: OAuth,"Flask, OAuth 2.0, Authentication & Authorization, Python Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.",N/A,https://www.udacity.com/course/authentication-authorization-oauth--ud330,Udacity
Intro to iOS App Development with Swift,"Swift, UIKit, AVFoundation Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.",N/A,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,Udacity
Introduction to Operating Systems,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems Georgia Institute of Technology Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.",N/A,https://www.udacity.com/course/introduction-to-operating-systems--ud923,Udacity
Android Basics: Networking,"Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences Google This class teaches the basics of networking using Android, and is a part of the Android Basics Nanodegree by Google.",N/A,https://www.udacity.com/course/android-basics-networking--ud843,Udacity
Web Accessibility,"Accessibility, Screen Readers, Focus, Semantics, ARIA Google Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.",N/A,https://www.udacity.com/course/web-accessibility--ud891,Udacity
Android Basics: Data Storage,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design Google In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!",N/A,https://www.udacity.com/course/android-basics-data-storage--ud845,Udacity
Scalable Microservices with Kubernetes,"Microservices, Docker, Kubernetes, Deploying Microservices Google This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.",N/A,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615,Udacity
Developing Android Apps with Kotlin,Android Development Google Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,N/A,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012,Udacity
Browser Rendering Optimization,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app Google This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.",N/A,https://www.udacity.com/course/browser-rendering-optimization--ud860,Udacity
Learn Swift Programming Syntax,"Variables and Constants, Control Flow, Functions, Optionals, OOP This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.",N/A,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,Udacity
Offline Web Applications,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching Google Learn how to develop offline-first web application using Service Workers and IndexedDB.",N/A,https://www.udacity.com/course/offline-web-applications--ud899,Udacity
Kotlin for Android Developers,"Kotlin, Android Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.",N/A,https://www.udacity.com/course/kotlin-for-android-developers--ud888,Udacity
UX Design for Mobile Developers,"Android, UX Design, User-Centered Design Google This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.",N/A,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,Udacity
Software Development Process,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology Georgia Institute of Technology Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.",N/A,https://www.udacity.com/course/software-development-process--ud805,Udacity
Data Visualization in Tableau,"Tableau, Design of Visualizations, Visual Encodings Learn the fundamentals of data visualization and practice communicating with data.",N/A,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,Udacity
Intro to Progressive Web Apps,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps Google In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!",N/A,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,Udacity
Writing READMEs,"README, Markdown, Making code easier to read Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!",N/A,https://www.udacity.com/course/writing-readmes--ud777,Udacity
